Country,InvoiceNo
Australia,1259
Austria,401
Bahrain,19
Belgium,2069
Brazil,32
Canada,151
Channel Islands,758
Cyprus,622
Czech Republic,30
Denmark,389
EIRE,8196
European Community,61
Finland,695
France,8557
Germany,9495
Greece,146
Hong Kong,288
Iceland,182
Israel,297
Italy,803
Japan,358
Lebanon,45
Lithuania,35
Malta,127
Netherlands,2371
Norway,1086
Poland,341
Portugal,1519
RSA,58
Saudi Arabia,10
Singapore,229
Spain,2533
Sweden,462
Switzerland,2002
USA,291
United Arab Emirates,68
United Kingdom,495478
Unspecified,446
