InvoiceDate,total_price
01/02/11,28433.22
01/03/11,25471.71
01/04/11,24391.78
01/05/11,6964.66
01/06/11,20191.2
01/07/11,13171.82
01/08/11,21362.84
01/09/11,37296.6
01/11/11,28741.55
01/12/10,58635.56
01/12/11,51410.95
02/02/11,21048.45
02/03/11,18296.45
02/06/11,32502.01
02/08/11,14947.27
02/09/11,41745.07
02/10/11,11623.58
02/11/11,45239.06
02/12/10,46207.28
02/12/11,57086.06
03/02/11,23344.58
03/03/11,35842.62
03/04/11,6878.1
03/05/11,19617.86
03/06/11,16751.0
03/07/11,5977.14
03/08/11,27075.02
03/10/11,64214.78
03/11/11,62816.55
03/12/10,45620.46
04/01/11,14950.48
04/02/11,24994.17
04/03/11,19474.87
04/04/11,25073.02
04/05/11,27462.3
04/07/11,44154.75
04/08/11,61028.65
04/09/11,17018.49
04/10/11,48240.84
04/11/11,60081.76
04/12/11,24565.78
05/01/11,-1566.23
05/04/11,28353.829999999998
05/05/11,28750.65
05/06/11,25520.35
05/07/11,40334.97
05/08/11,21298.3
05/09/11,36844.04
05/10/11,75244.43
05/12/10,31383.95
05/12/11,57751.32
06/01/11,37392.74
06/02/11,3457.11
06/03/11,9596.23
06/04/11,17279.35
06/05/11,35714.58
06/06/11,16791.39
06/07/11,26279.58
06/09/11,28052.62
06/10/11,55306.28
06/11/11,42912.4
06/12/10,53860.18
06/12/11,54228.37
07/01/11,27233.14
07/02/11,25525.99
07/03/11,30525.58
07/04/11,18229.0
07/06/11,37644.3
07/07/11,31357.72
07/08/11,7464.12
07/09/11,34125.65
07/10/11,47538.02
07/11/11,70001.08
07/12/10,45059.049999999996
07/12/11,75076.22
08/02/11,20728.14
08/03/11,25017.47
08/04/11,23299.14
08/05/11,18808.920000000002
08/06/11,42940.91
08/07/11,26840.079999999998
08/08/11,19987.15
08/09/11,26708.0
08/11/11,56647.66
08/12/10,44189.840000000004
08/12/11,81417.78
09/01/11,15710.8
09/02/11,16692.58
09/03/11,21907.12
09/05/11,26060.43
09/06/11,45515.75
09/08/11,26623.2
09/09/11,29317.69
09/10/11,11922.24
09/11/11,62599.43
09/12/10,52532.13
09/12/11,32131.529999999988
10/01/11,24191.64
10/02/11,13427.54
10/03/11,25597.89
10/04/11,9363.88
10/05/11,45564.12
10/06/11,22540.660000000003
10/07/11,5692.07
10/08/11,27474.22
10/10/11,44265.89
10/11/11,68956.24
10/12/10,57404.91
11/01/11,67817.13
11/02/11,20387.28
11/03/11,21995.28
11/04/11,22110.31
11/05/11,33240.36
11/07/11,22429.53
11/08/11,72132.79
11/09/11,35465.47
11/10/11,38267.75
11/11/11,54835.51
12/01/11,23958.78
12/04/11,25124.25
12/05/11,59911.97
12/06/11,12483.86
12/07/11,25892.04
12/08/11,10049.480000000001
12/09/11,29039.31
12/10/11,29302.85
12/12/10,17240.920000000002
13/01/11,20533.54
13/02/11,5535.4
13/03/11,4137.62
13/04/11,23898.2
13/05/11,30744.07
13/06/11,20372.93
13/07/11,11612.05
13/09/11,54828.45
13/10/11,37067.17
13/11/11,33520.22
13/12/10,35379.34
14/01/11,47377.26
14/02/11,26222.03
14/03/11,25864.59
14/04/11,35295.58
14/06/11,40211.93
14/07/11,32575.96
14/08/11,5150.18
14/09/11,23360.66
14/10/11,35225.54
14/11/11,112141.11
14/12/10,42843.29
15/02/11,36842.58
15/03/11,20660.03
15/04/11,28327.131
15/05/11,9924.28
15/06/11,46139.18
15/07/11,14478.93
15/08/11,17205.54
15/09/11,62943.81
15/11/11,60594.23
15/12/10,29443.69
16/01/11,7116.61
16/02/11,24730.81
16/03/11,21182.64
16/05/11,25279.77
16/06/11,34131.73
16/08/11,19103.71
16/09/11,25858.06
16/10/11,21605.44
16/11/11,64408.7
16/12/10,48334.35
17/01/11,29256.0
17/02/11,26361.87
17/03/11,38804.25
17/04/11,12704.3
17/05/11,53603.83
